	name	contri	userType	prevReviewCount	prevPhotosReview	rating	reviewDate	reviewText	reviewDate2	formatted_date	location
1011	Norm Platt	https://lh3.googleusercontent.com/a-/ACNPEu8um_3TPfIvh6B_5IC9tuIePk_U9cinDS0IKYLq6g=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	137.0	2.0	4	2 years ago		2021-02-12 19:30:30.298795	02-12-2021	100_king_st
1012	Tauseef alamgir Turjjo	https://lh3.googleusercontent.com/a-/ACNPEu9DBkL-kZuAUeQf6xIae7iR_DXFXfPcg5HOFwA6zCs=s40-c-c0x00000000-cc-rp-mo-ba2-br100	Local Guide	3.0	43.0	5	4 years ago		2019-02-13 19:30:30.298795	02-13-2019	100_king_st
1013	Ben Kobayashi	https://lh3.googleusercontent.com/a-/ACNPEu874dGLjgXVtcHZYw5q0ucM_eVDBnlI_pWzjbprjw=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	86.0	165.0	3	3 years ago		2020-02-13 19:30:30.298795	02-13-2020	100_king_st
1014	sandeep italiya	https://lh3.googleusercontent.com/a-/ACNPEu9egzeG4VAbe2hWtA7hC0kBFKqLQ8I7mqvz7475TQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	3.0	14.0	4	3 years ago		2020-02-13 19:30:30.299796	02-13-2020	100_king_st
1015	Byeongji Lim	https://lh3.googleusercontent.com/a-/ACNPEu-udkuYw8Nuu057FbV_s62wHZbWaX8g8TI10XLxisg=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	3.0	2.0	5	3 years ago		2020-02-13 19:30:30.299796	02-13-2020	100_king_st
1016	Rebecca Beland-Leblanc	https://lh3.googleusercontent.com/a/ALm5wu3u-FzKM6mQbXYO7wyldCf9eGcp5flDuBKEcAKx=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	3.0	0.0	1	3 years ago		2020-02-13 19:30:30.300796	02-13-2020	100_king_st
1017	Fran̤ois Dub̩	https://lh3.googleusercontent.com/a-/ACNPEu9oGAB8z8O7-zFL8-nLHYdKbgd2QlP3dfQMte_B62M=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	7.0	0.0	1	3 years ago		2020-02-13 19:30:30.300796	02-13-2020	100_king_st
1018	yeshwanti	https://lh3.googleusercontent.com/a-/ACNPEu8Enl2PPOOZ0E5wBipeqKyqdmJ8nxYiYG0Xw1YgmQ=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	12.0	1.0	1	2 years ago		2021-02-12 19:30:30.300796	02-12-2021	100_king_st
1019	Husseina Kakal	https://lh3.googleusercontent.com/a/ALm5wu3dDRquwnJ44-OCa5d3_paNisuKF6p2azZwjuI7=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	4.0	0.0	5	3 years ago		2020-02-13 19:30:30.301796	02-13-2020	100_king_st
1020	Josh Piela	https://lh3.googleusercontent.com/a-/ACNPEu-Ox65EScmmpY-SRyYQ2JkjlggkqUnN60t2XxfL=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	0.0	0.0	5	3 years ago		2020-02-13 19:30:30.301796	02-13-2020	100_king_st
